"","Modello","MAE"
"1","Mod_1","1476328.20179903"
"2","Mod_2","6365990.13124327"
"3","Mod_3","1119293.20437822"
"4","Mod_4","9230606.33759069"
"5","Mod_5","852519.424723167"
"6","Mod_6","742454.556845803"
"7","Mod_7","535181.306139725"
"8","Mod_8","1020940.83530663"
"9","Mod_9","1119308.88070732"
"10","Mod_10","534665.176809142"
"11","Mod_11","3022993.32393631"
"12","Mod_12","513542.755258112"
"13","Mod_13","1023034.86801306"
"14","Mod_12_plus_regressor","938118.861905124"
